canonical_smiles,molecule_chembl_id,pchembl_value,relation,standard_relation,standard_type,target_organism,type,value
CCn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccccc3)nc21,CHEMBL322298,6.70,=,=,IC50,Homo sapiens,IC50,0.2
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(Br)c3)nc21,CHEMBL111434,6.17,=,=,IC50,Homo sapiens,IC50,0.67
COc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,CHEMBL111197,7.52,=,=,IC50,Homo sapiens,IC50,0.03
O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCN1CCOCC1,CHEMBL136058,9.09,=,=,IC50,Homo sapiens,IC50 app,0.81
O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCN1CCOCC1,CHEMBL136058,8.06,=,=,IC50,Homo sapiens,IC50,8.8
O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCN1CCOCC1,CHEMBL136058,8.06,=,=,IC50,Homo sapiens,IC50,8.8
COc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,CHEMBL51854,8.42,=,=,IC50,Homo sapiens,IC50,3.8
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,CHEMBL939,6.29,=,=,IC50,Homo sapiens,IC50,0.515
C#Cc1cccc(Nc2c(C#N)cnc3cc(OCCOC)c(OCCOC)cc23)c1,CHEMBL95320,6.07,=,=,IC50,Homo sapiens,IC50,0.85
Cc1cccc(Nc2ncnc3cnc(N)nc23)c1,CHEMBL298931,7.77,=,=,IC50,Homo sapiens,IC50,17.0
COc1cccc2c(C(=O)Nc3ccccc3)c(SSc3c(C(=O)Nc4ccccc4)c4cccc(OC)c4n3C)n(C)c12,CHEMBL292323,5.19,=,=,IC50,Homo sapiens,IC50,6.5
COC(=O)c1cccc(NCc2cc(O)ccc2O)c1,CHEMBL334334,5.05,=,=,IC50,Homo sapiens,IC50,9.0
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1.Cl.Cl,CHEMBL545315,8.82,=,=,IC50,Homo sapiens,IC50 app,1.5
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1.Cl.Cl,CHEMBL545315,8.13,=,=,IC50,Homo sapiens,IC50,7.4
